Время: 0,00 сек, Координата X: 0,87 м, Координата Y: 0,50 м, Скорость: 100,00 м/с
Время: 0,01 сек, Координата X: 1,73 м, Координата Y: 1,00 м, Скорость: 100,00 м/с
Время: 0,02 сек, Координата X: 2,60 м, Координата Y: 1,50 м, Скорость: 100,00 м/с
Время: 0,03 сек, Координата X: 3,46 м, Координата Y: 1,99 м, Скорость: 100,00 м/с
Время: 0,04 сек, Координата X: 4,33 м, Координата Y: 2,49 м, Скорость: 100,00 м/с
Время: 0,05 сек, Координата X: 5,20 м, Координата Y: 2,98 м, Скорость: 100,00 м/с
Время: 0,06 сек, Координата X: 6,06 м, Координата Y: 3,48 м, Скорость: 100,00 м/с
Время: 0,07 сек, Координата X: 6,93 м, Координата Y: 3,97 м, Скорость: 100,00 м/с
Время: 0,08 сек, Координата X: 7,79 м, Координата Y: 4,46 м, Скорость: 100,00 м/с
Время: 0,09 сек, Координата X: 8,66 м, Координата Y: 4,95 м, Скорость: 100,00 м/с
Время: 0,10 сек, Координата X: 9,53 м, Координата Y: 5,44 м, Скорость: 100,00 м/с
Препятствие достигнуто на координате X: 10,39 м.
